8	#number of lines
#energy eV	rindex	absorption
2.73		1.58	160.
2.82		1.58	160.
2.96		1.58	160.
3.01		1.58	160.
3.04		1.58	160.
3.12		1.58	160.
3.17		1.58	160.
3.20		1.58	160.







 
